,label,text,final_label,init_label,weak_label,m_init_label,explanation
0,0,"Bush Signs Into Law Debt Ceiling Increase &lt;p&gt;&lt;/p&gt;&lt;p&gt; WASHINGTON (Reuters) - President Bush on Friday signed intolaw a measure authorizing an \$800 billion increase in thecredit limit of the United States, the White House said.&lt;/p&gt;",Business,Business,2.0,2.0,"The text discusses a financial decision made by the U.S. government to increase the debt ceiling, which is directly related to economic and financial matters. The mention of an $800 billion increase in the credit limit of the United States aligns with topics such as economy, finance, and financial policies, which are key aspects of the 'Business' category."
1,0,"Italian Woman's Veil Stirs More Than Fashion Feud The case of a Muslim woman fined for wearing a veil has created a dispute involving politicians, civil rights groups and a fashion designer.",World,World,0.0,0.0,"The text discusses a situation involving a Muslim woman fined for wearing a veil, which has sparked a dispute involving politicians and civil rights groups. This aligns with the 'World' category as it involves international and political elements, such as civil rights and political discussions, which are key aspects of global and international news."
2,3,Playstation 3 to arrive spring 2006 In Japan NVIDIA HAS MADE A big noise about Playstation 3 deal but unfortunately you won #39;t see this console any time soon. Nvidia stock holders definitely know about Sony and its Playstation 3 killer business and therefore Nvidia is recovering on the stock market.,Sci/Tech,Sci/Tech,3.0,3.0,"The text discusses the upcoming release of the Playstation 3, which is a technological product, and mentions Nvidia's involvement in the deal. It highlights aspects of technology and innovation, which align with the 'Sci/Tech' category. Additionally, the mention of Nvidia's stock market recovery ties into business aspects, but the primary focus is on the technological product and its impact."
3,0,"Mozambicans Vote for New President Mozambique #39;s poor, many carrying small children, trudged along narrow dirt roads in oppressive heat Wednesday to pick a replacement for the president who has ruled ",World,World,0.0,0.0,"The text discusses an election in Mozambique, focusing on the process of voting for a new president. This is related to international events and politics, which aligns with the 'World' category. The mention of citizens voting and the context of political leadership change further supports this classification."
4,1,"Croom, fans savor historic moment When Sylvester Croom met with 500 members of the Mississippi State Quarterback Club at the Starkville Country Club recently, he read a poem entitled:  quot;What is a Coach?",Sports,Sports,1.0,1.0,"The text mentions Sylvester Croom, who is associated with the Mississippi State Quarterback Club, indicating a connection to sports, specifically football. The context of meeting with fans and discussing a coach further supports the classification as 'Sports'."
5,1,"Rams Use Rejuvenated Running Game in Win (AP) AP - For at least one game, the pass-happy St. Louis Rams relied on the running game. A week after coming under heavy criticism for a game plan that featured 49 passes and just 15 runs in a 28-25 overtime loss at home against New Orleans, coach Mike Martz used the run early and often in a 24-14 win Sunday night at San Francisco, evening the Rams' record at 2-2.",Sports,Sports,1.0,1.0,"The text discusses a football game involving the St. Louis Rams, focusing on their strategy and performance. It mentions specific game details, such as the score, the team's record, and the coach's decisions, which are typical elements of sports reporting. Keywords like 'game', 'win', 'coach', and 'record' further indicate that this is related to sports."
6,3,"Odd couple: Schwartz and McNealy It hasn't even been eight months since Sun Microsystems promoted Jonathan Schwartz to be Chief Executive Scott McNealy's right-hand man, but the two are already acting like an old couple. Missing Links",Business,Business,2.0,2.0,"The text discusses the promotion of Jonathan Schwartz to a high-level executive position at Sun Microsystems, a company known for its technology products and services. The mention of executive roles and corporate dynamics aligns with the 'Business' category, which covers corporate activities and business strategies."
7,1,"Colombian golfer leads US Amateur qualifying MAMARONECK, NY (AP)  Oscar Alvarez of Colombia shot a 3-under-par 67 for the first-round lead at the US Amateur on Monday. Alvarez, a junior at BYU, had five birdies and two bogeys on the 6,775-yard East course at Winged Foot Golf Club, and was the ...",Sports,Sports,1.0,1.0,"The text discusses a golf competition, specifically the US Amateur, and highlights the performance of a golfer, Oscar Alvarez. It includes details about his score, birdies, and bogeys, which are typical elements of sports reporting. The focus on athletic performance and competition aligns with the 'Sports' category."
8,1,Loeb extends lead over Solberg CARDIFF -- Championship leader Sebastien Loeb took two stage wins to boost his lead over Norwegian Petter Solberg as the Rally of Britain entered its second leg on Saturday.,Sports,Sports,1.0,1.0,"The text discusses a competitive event, specifically the Rally of Britain, and mentions athletes Sebastien Loeb and Petter Solberg. It focuses on stage wins and the championship lead, which are typical elements of sports coverage. Keywords such as 'championship', 'stage wins', and 'Rally' align with the 'Sports' category."
9,3,AOL new browser combines Firefox with Explorer a version of the open-source Firefox but with support for Microsoft Internet Explorer tied-in. Explorer remains the ,Sci/Tech,Sci/Tech,3.0,3.0,"The text discusses a new browser developed by AOL that combines features of Firefox and Internet Explorer. This relates to technological innovation and software development, which are key aspects of the 'Sci/Tech' category. The mention of open-source software and browser compatibility further supports this classification."
10,3,"Real slashes song prices in online music battle In a move likely to step up the digital music dispute between RealNetworks Inc. and Apple Computer Inc., Real slashed prices at its online music store on Tuesday, offering songs and albums for a limited time at nearly half of what Apple charges at its ...",Business,Business,2.0,2.0,"The text discusses a pricing strategy by RealNetworks Inc. in its competition with Apple Computer Inc. in the digital music market. This involves corporate activities and market competition, which are key aspects of the 'Business' category. The focus on pricing strategies and competition between companies aligns with business-related content."
11,3,"Inspector Google solves the crime It #39;s normally employed to drum up that missing address, phone number or website, or to check facts, dates, names and other miscellany.",Sci/Tech,Sci/Tech,3.0,3.0,"The text refers to the use of Google, a technological tool, to solve problems by finding information such as addresses, phone numbers, and other data. This aligns with the 'Sci/Tech' category, which includes discussions on technological advancements and their applications in everyday life."
12,1,"Guerin trades NHL job for family business For the first time in three years, former Bruins forward Bill Guerin will be home with his family for Halloween. But he won't be dressing up as a National Hockey League player any time soon. He'll be a full-time dad to his four children while he waits -- with his NHL Players Association brethren -- for something to break in ...",Sports,Sports,1.0,1.0,"The text discusses Bill Guerin, a former NHL player, and his transition from professional sports to focusing on his family. The mention of the NHL, Bruins, and the NHL Players Association indicates that the primary context of the text is related to sports, specifically ice hockey."
13,0,Iraq: Italian Hostages Released ROME (CBS) The Arab television network Al-Jazeera announced that two Italian hostages were released Tuesday in Iraq. Italian news reports said Premier Silvio Berlusconi has confirmed the release.,World,World,0.0,0.0,"The text discusses the release of Italian hostages in Iraq, which is an international event involving multiple countries. It mentions the Arab television network Al-Jazeera and Italian Premier Silvio Berlusconi, indicating diplomatic and political elements. These aspects align with the 'World' category, which covers global politics and international events."
14,0,Dozens of Iraqi soldiers found executed The corpses of 50 soldiers of Iraq #39;s new army have been discovered northeast of the capital Baghdad. Interim Iraqi interior ministry spokesman Adnan Abd al-Rahman said the troops were believed to have been ,World,World,0.0,0.0,"The text discusses the discovery of executed soldiers in Iraq, which is a significant international event involving geopolitical issues and potential conflicts. The mention of the Iraqi army and the interior ministry indicates a focus on political and military affairs within a country, aligning with the 'World' category that covers international events and global politics."
15,0,"At least six Georgian soldiers killed in separatist region clashes (AFP) AFP - At least six Georgian soldiers were killed and seven wounded in overnight clashes in Georgia's separatist, pro-Russian region of South Ossetia, an official with the Georgian interior ministry told AFP.",World,World,0.0,0.0,"The text describes an international event involving clashes in Georgia's separatist region of South Ossetia, which is a geopolitical issue. The mention of 'pro-Russian region' and the involvement of Georgian soldiers indicates a focus on international politics and conflicts, fitting the 'World' category."
16,2,US opening oil reserve NEW YORK (CNN/Money) - The federal government said Thursday it plans to loan a limited amount of crude oil from the nation #39;s strategic reserve in a bid to offset shortages caused by Hurricane Ivan.,Business,Business,2.0,2.0,"The text discusses the federal government's decision to loan crude oil from the strategic reserve to address shortages, which is related to economic and market activities. The mention of 'CNN/Money' and the focus on oil reserves and shortages align with business and economic topics, such as market supply and government economic strategies."
17,3,"Gone Phishing? Zastrossi writes  quot;According to the Anti-Phishing Working Group, phishing sites--the practice of making sites that look and act like popular sites such as banks in order to steal personal information from customers--rose from 543 sites in September to ",Sci/Tech,Sci/Tech,3.0,3.0,"The text discusses phishing, a cyber security issue related to technology and the internet. It involves the creation of fraudulent websites to steal personal information, which is a technological concern. The mention of the Anti-Phishing Working Group and the rise in phishing sites indicates a focus on technological threats and innovations in cyber security, aligning with the 'Sci/Tech' category."
18,3,Need for carbon sink technologies Climate scientists tell a conference that greater efforts should be made to pull CO2 from the atmosphere.,Sci/Tech,Sci/Tech,3.0,3.0,"The text discusses the need for carbon sink technologies, which relates to scientific and technological efforts to address climate change. The mention of climate scientists and the focus on pulling CO2 from the atmosphere aligns with scientific research and technological innovation, fitting the 'Sci/Tech' category."
19,1,"Angels sign Cuban prospect Kendry Morales ANAHEIM, Calif. - Highly touted Cuban prospect Kendry Morales has reached agreement with the Anaheim Angels on a six-year contract.",Sports,Sports,1.0,1.0,"The text discusses the signing of a Cuban prospect, Kendry Morales, by the Anaheim Angels, which is a sports team. The mention of a contract with a sports team and the context of a prospect being signed are indicative of sports-related content. Keywords such as 'prospect', 'Angels', and 'contract' align with the 'Sports' category, which covers news about teams, athletes, and sports events."
